,Author,Quotes,Likes,Tags
521,C. JoyBell C.,"“Man is not defiled by his impurities. It is the other man pointing out his impurities to him, whom he is defiled by. Is there anything anyone can do, to become righteous, anyway? God made us impure. If he had a problem with that, He would have made us gods, instead.”",71,"['god', 'gods', 'humanism', 'humanity', 'hypocrisy', 'hypocrites', 'impurities', 'impurity', 'inspirational', 'inspirational-quotes', 'people', 'righteous', 'righteousness', 'spiritual', 'spirituality']"
522,Shannon L. Alder,"“God whispered, ""You endured a lot. For that I am truly sorry, but grateful. I needed you to struggle to help so many. Through that process you would grow into who you have now become. Didn't you know that I gave all my struggles to my favorite children? One only needs to look at the struggles given to your older brother Jesus to know how important you have been to me.”",71,"['abuse', 'accepting', 'answers', 'autoimmune-disease', 'bullied', 'compassion', 'crying', 'cyberbullying', 'defamation', 'empathy', 'emptyness', 'faith', 'feeling-deeply', 'god', 'god-s-love', 'god-s-plan', 'gossip', 'grace', 'hacking', 'healing', 'hope', 'humiliation', 'ignored', 'illness', 'insight', 'introspection', 'job', 'journey', 'life', 'living', 'lonely', 'lonliness', 'loss-of-dignity', 'loss-of-faith', 'loss-of-family', 'loss-of-health', 'loss-of-time', 'lost', 'lost-children', 'mental-abuse', 'mercy', 'misdiagnosis', 'misunderstanding', 'mood', 'pain', 'physical-abuse', 'rejection', 'self-evaluation', 'sexual-abuse', 'shame', 'silence', 'sorrow', 'spiritual-abuse', 'struggles', 'tears', 'to-live', 'trials', 'tsloama', 'wrong-choices', 'years']"
523,Damien Echols,“Those with less curiosity or ambition just mumble that God works in mysterious ways. I intend to catch him in the act.”,69,"['ambition', 'curiosity', 'god', 'mysterious']"
524,R. Dawkins,"“There is something infantile in the presumption that somebody else has a responsibility to give your life meaning and point… The truly adult view, by contrast, is that our life is as meaningful, as full and as wonderful as we choose to make it.”",68,"['god', 'life', 'meaning', 'philosophy']"
525,C.S. Lewis,"“They call him Aslan in That Place,"" said Eustace.",63,['god']
526,Corrie ten Boom,"“If God sends us on strong paths, we are provided strong shoes.”",62,['god']
527,Anonymous,"“He gave his Son, his one and only Son. And this is why: so that no one need be destroyed; by believing in him, anyone can have a whole and lasting life. God didn't go to all the trouble of sending his Son merely to point an accusing finger, telling the world how bad it was. He came to help, to put the world right again. Anyone who trusts in him is acquitted; anyone who refuses to trust him has long since been under the death sentence without knowing it. And why? Because of that person's failure to believe in the one-of-a-kind Son of God when introduced to him.”",60,"['bible', 'god', 'jesus-christ', 'love', 'trust', 'truth', 'world']"
528,Karl Rahner,"“When man is with God in awe and love, then he is praying.”",60,"['catholicism', 'christianity', 'god', 'inspirational', 'prayer', 'religion', 'theology']"
529,Gabriel Garcí­a Márquez,"“My God, if I had a heart, I would write my hate on ice, and wait for the sun to show.”",60,"['death', 'death-and-dying', 'god', 'hate']"
530,Johann Wolfgang von Goethe,"“Let mental culture go on advancing, let the natural sciences progress in even greater extent and depth, and the human mind widen itself as much as it desires: beyond the elevation and moral culture of Christianity, as it shines forth in the Gospels, it will not go.”",59,"['christianity', 'god', 'life', 'philosophy', 'spiritual', 'wisdom']"
531,Neal Shusterman,"“How ironic, then, and how poetic, that humankind may have created the Creator out of want for one. Man creates God, who then creates man. Is that not the perfect circle of life? But then, if that turns out to be the case, who is created in whose image?”",58,"['artificial-intelligence', 'god', 'humankind']"
532,Victoria Schwab,"“I am Sunai,” he said. “I am holy fire. And if I have to burn the world to cleanse it, so help me, I will.”",54,"['god', 'monster']"
533,Nadia Bolz-Weber,“I need a God who is bigger and more nimble and mysterious than what I could understand and contrive. Otherwise it can feel like I am worshipping nothing more than my own ability to understand the divine.”,53,"['divine', 'god', 'mystery']"
534,Desmond Tutu,"“We must be ready to learn from one another, not claiming that we alone possess all truth and that somehow we have a corner on God.”",51,"['god', 'world-peace']"
535,Francis de Sales,“The same everlasting Father who cares for you today will care for you tomorrow and every day.,50,"['faith', 'god', 'peace', 'strength']"
536,Amit Ray,"“God is the most beautiful, and beauty is the expression of God. If you can't appreciate beauty in the world how can you understand God?”",50,"['beauty', 'beauty-in-life', 'beauty-in-nature', 'beauty-of-nature', 'beauty-of-the-world', 'god', 'god-and-beauty', 'godly', 'spirituality', 'worshipping']"
537,Chuck Palahniuk,"“Nobody wants to worship you if you have the same problems, the same bad breath and messy hair and hangnails, as a regular person. You have to be everything regular people aren’t. Where they fail, you have to go all the way. Be what people are too afraid to be. Become whom they admire. People shopping for a messiah want quality. Nobody is going to follow a loser. When it comes to choosing a savior, they won't settle for just a human being.”",49,"['deities', 'deity', 'god', 'gods', 'savior', 'saviors', 'worship']"
538,Solomon Northup,"“At such times, the heart of man turns instictively towards his Maker. In prosperity, and whenever there is nothing to injure or make him afraid, he remembers Him not, and is ready to defy Him; but place him in the midst of dangers, cut him off from human aid, let the grave open before him, then it is, in the time of his tribulation, that the scoffer and unbelieving man turns to God for help, feeling there is no other hope, or refuge, or safety, save in his protecting arm.”",47,"['faith', 'god', 'prayer', 'religion', 'spirituality', 'stress', 'trials-and-tribulations', 'tribulations', 'worry']"
539,Olive Ann Burns,"“Ask and it shall be given you,'"" I began. ""'Seek and ye shall find; knock, and it shall be opened unto you; For every one that asketh receiveth; and he that seeketh findeth; and to him that knocketh it shall be opened.' We have the same message in the Book of Saint John,"" I said, sounding for all the world like a preacher....""",40,"['faith', 'god', 'hope']"
540,Steve Maraboli,“Don’t tell me about your god with your words. Show me about your god with your actions.”,167,"['actions', 'christian-behavior', 'god', 'inspirational', 'motivational', 'religion']"
541,Abraham Verghese,"“God will judge us, Mr. Harris, by--by what we did to relieve the suffering of our fellow human beings. I don't think God cares what doctrine we embrace.”",144,"['compassion', 'god', 'humanity', 'judgement']"
542,Anonymous,"“My son, ﻿do not forget my teaching,",120,"['bible', 'god', 'kindness', 'peace', 'trust', 'truth']"
543,John Bunyan,"“Prayer will make a man cease from sin, or sin will entice a man to cease from prayer.”",118,"['bible', 'biblical', 'church', 'god', 'jesus', 'prayer', 'spiritual']"
544,Alice Walker,"“Here's the thing, say Shug. The thing I believe. God is inside you and inside everybody else. You come into the world with God. But only them that search for it inside find it. And sometimes it just manifest itself even if you not looking, or don't know what you looking for. Trouble do it for most folks, I think. Sorrow, lord. Feeling like shit.",113,"['alice-walker', 'god', 'the-color-purple']"
545,Paul Valéry,"“God created man and, finding him not sufficiently alone, gave him a companion to make him feel his solitude more keenly”",75,"['adam-and-eve', 'aloneness', 'god', 'man', 'solitude']"
546,Fulton J. Sheen,"“Once you have surrendered yourself, you make yourself receptive. In receiving from God, you are perfected and completed.”",74,"['catholic', 'catholicism', 'christianity', 'god', 'jesus-christ', 'perfected-man', 'religion', 'spirituality']"
547,Steven James,"“The gifts of the Master are these: freedom, life, hope, new direction, transformation, and intimacy with God. If the cross was the end of the story, we would have no hope. But the cross isn't the end. Jesus didn't escape from death; he conquered it and opened the way to heaven for all who will dare to believe. The truth of this moment, if we let it sweep over us, is stunning. It means Jesus really is who he claimed to be, we are really as lost as he said we are, and he really is the only way for us to intimately and spiritually connect with God again.”",73,"['cross', 'death', 'easter', 'god', 'hope', 'jesus', 'spiritual']"
548,Mitch Albom,"“Look, if you say that science will eventually prove there is no God, on that I must differ. No matter how small they take it back, to a tadpole, to an atom, there is always something they can’t explain, something that created it all at the end of the search.",73,"['belief', 'god']"
549,Steve Maraboli,"“God’s word is not just to be heard and repeated, it is to be breathed, lived, and emulated with each action.”",68,"['action', 'beliefs', 'god', 'religion', 'success']"
550,Kirsten Miller,“My faith is big enough to accept all of God's wonders.”,63,"['faith', 'god', 'inspirational']"
551,Eben Alexander,"“Communicating with God is the most extraordinary experience imaginable, yet at the same time it's the most natural one of all, because God is present in us at all times. Omniscient, omnipotent, personal-and loving us without conditions. We are connected as One through our divine link with God.”",55,"['christianity', 'god', 'inspirational', 'prayer']"
552,Jennifer L. Armentrout,"“Bravery is a fleeting beast, isn’t it? Always there to get you into trouble, but quick to disappear once you’re where you want to be”",55,"['brave', 'bravery', 'god', 'nyktos', 'penellaphe', 'poppy', 'queen']"
553,Sam Childers,“Since that day there is nothing anyone could ever say to convince me that one person cannot change a nation. One person can do unbelievable things. All it takes is that one person who's willing to risk everything to make it happen.”,54,"['believe', 'change-the-world', 'god', 'inspirtaional', 'life', 'one-person', 'risk', 'sacrifice', 'spiritual', 'willing']"
554,Eleanor Powell,“What we are is God's gift to us. What we become is our gift to God.”,52,['god']
555,Peter Kreeft,"“Don't be more serious than God. God invented dog farts. God designed your body's plumbing system. God designed an ostrich. If He didn't do it, He permitted a drunken angel to do it. Empirical facts can add significantly to the meaning of ""being godlike"".”",49,"['christianity', 'god', 'god-is-a-comedian', 'theology']"
556,Jonathan Safran Foer,“(You do not have to be shamed in my closeness. Family are the people who must never make you feel ashamed.),48,"['belief', 'family', 'god', 'love', 'shame']"
557,Amit Ray,"“Family, friends and relationships are the blessings of the God. They are the best way to access God.”",47,"['blessing-of-the-lord', 'blessings', 'blessings-quotes', 'family', 'family-relationships', 'friends', 'god', 'relationships']"
558,Elisabeth Elliot,“Our vision is so limited we can hardly imagine a love that does not show itself in protection from suffering. The love of God is of a different nature altogether. It does not hate tragedy. It never denies reality. It stands in the very teeth of suffering.”,45,"['god', 'love', 'love-of-god', 'suffering']"
559,Louis Zamperini,"“The great commandment is that we preach the gospel to every creature, but neither God nor the Bible says anything about forcing it down people's throats.”",45,"['bible', 'billy-graham', 'god', 'gospel', 'jesus-christ', 'preach']"
560,Mary Kate,"“One thing I've learnt through writing is this: with everything in life, you have to look down deep into your heart! That fact is true with all things! If you have Jesus inside, He will give you all you need to say, and all the actions you need to do! It's not mere imagination the things I write; they are composed from the words lit up inside of me, from my Creator, who made all things bright!”",45,"['actions', 'believe', 'bright', 'care', 'creator', 'deep', 'doing', 'dreams', 'find', 'god', 'heart', 'hope', 'inspiration', 'jesus', 'kjv', 'needs', 'special', 'true', 'truth', 'words', 'writing']"
561,Athol Fugard,"“Anybody who thinks there's nothing wrong with this world needs to have his head examined. Just when things are going all right, without fail someone or something will come along and spoil everything. Somebody should write that down as a fundamental law of the Universe. The principle of perpetual disappointment. If there is a God who created this world, he should scrap it and try again.”",43,"['disappointment', 'god', 'law', 'laws-of-the-universe', 'life', 'life-lesson', 'people', 'people-suck', 'religion', 'universe']"
562,Xenophanes,“Men always makes gods in their own image.”,42,"['god', 'image', 'xenophanes']"
563,Elizabeth George,"“Gentleness is strength under control. It is the ability to stay calm, no matter what happens.”",42,"['ability', 'calm', 'christian', 'control', 'couple', 'gentleness', 'god', 'happen', 'prayer', 'strength']"
564,Swami Dhyan Giten,"“These are the three stages of enlightenment, the three glimpses of satori.",42,"['awareness', 'buddha', 'ego', 'emptiness', 'enlightenment', 'existence', 'god', 'jesus', 'joy', 'lao-tzu', 'life', 'love', 'meditation', 'mysticism', 'nirvana', 'no-self', 'satori', 'silence', 'spirituality', 'tao', 'the-kingdom-of-god', 'truth', 'wisdom']"
565,Graham Greene,"“If I stopped loving Him, I would cease to believe in His love. If I loved God, then I would believe in His love for me. It's not enough to need it. We have to love first, and I don't know how. But I need it, how I need it. ”",41,"['god', 'love']"
566,Mitch Albom,"“It is far more comforting to think God listened and said no, than to think that nobody’s out there.”",41,"['belief', 'god']"
567,Swami Vivekananda,"“You must worship the Self in Krishna, not Krishna as Krishna.”",41,"['god', 'hinduism', 'krishna', 'krishna-consciousness', 'lord-krishna', 'religion', 'worship']"
568,Carl Sandburg,"“A baby is God's opinion that life should go on. A book that does nothing to you is dead. A baby, whether it does anything to you, represents life. If a bad fire should break out in this house and I had my choice of saving the library or the babies, I would save what is alive. Never will a time come when the most marvelous recent invention is as marvelous as a newborn baby. The finest of our precision watches, the most super-colossal of our supercargo plants, don't compare with a newborn baby in the number and ingenuity of coils and springs, in the flow and change of chemical solutions, in timing devices and interrelated parts that are irreplaceable. A baby is very modern. Yet it is also the oldest of the ancients. A baby doesn't know he is a hoary and venerable antique — but he is. Before man learned how to make an alphabet, how to make a wheel, how to make a fire, he knew how to make a baby — with the great help of woman, and his God and Maker.”",40,"['baby', 'god']"
569,Yasmin Mogahed,"“Tear your heart out of your chest. And hand it to God. There is no other healing. I swear, there is no other healing.”",38,"['allah', 'god', 'healing', 'heart', 'islam']"
570,Barry Goldwater,"“Mark my word, if and when these preachers get control of the [Republican] party, and they're sure trying to do so, it's going to be a terrible damn problem. Frankly, these people frighten me. Politics and governing demand compromise. But these Christians believe they are acting in the name of God, so they can't and won't compromise. I know, I've tried to deal with them.”",254,"['christianity', 'compromise', 'god', 'lobbying', 'politics', 'preachers', 'religion', 'republicans']"
571,Neale Donald Walsch,"“Be a light unto the world, and hurt it not. Seek to build not destroy. Bring My people home.",246,"['angels', 'god', 'inspirational', 'love', 'peace', 'speak', 'truth', 'world']"
572,Carla Jo Masterson,"“Love does not cost anything. Kind words and deeds do not cost anything. The real beauty of the world is equal for everyone to see. It was given by God equally to all, without restrictions.",179,"['caring', 'family', 'god', 'harmonysoup-com', 'humor', 'inspirational', 'integrity', 'love', 'patience', 'truth', 'unity']"
573,Marilynne Robinson,"“There is no justice in love, no proportion in it, and there need not be, because in any specific instance it is only a glimpse or parable of an embracing, incomprehensible reality. It makes no sense at all because it is the eternal breaking in on the temporal. So how could it subordinate itself to cause or consequence?”",168,"['glimpse', 'god', 'love']"
574,Scott Cunningham,“We are not on this planet to ask forgiveness of our deities”,138,"['deity', 'earth', 'faith', 'god', 'goddess', 'love', 'paganism', 'planet', 'wicca']"
575,C.S. Lewis,“We regard God as an airman regards his parachute; it's there for emergencies but he hopes he'll never have to use it.”,115,['god']
576,George MacDonald,“All that is not God is death.”,102,"['death', 'god', 'life']"
577,Bob Goff,"“Failure is just part of the process, and it's not just okay; it's better than okay. God doesn't want failure to shut us down. God didn't make it a three-strikes-and-you're-out sort of thing. It's more about how God helps us dust ourselves off so we can swing for the fences again. And all of this without keeping a meticulous record of our screw-ups.”",97,"['failure', 'god']"
578,Steve Maraboli,"“Think of the patience God has had for you and let it resonate to others. If you want a more patient world, let patience be your motto”",91,"['compassion', 'god', 'inspirational', 'life', 'motivational', 'patience']"
579,Anonymous,"“To have faith is to be sure of the things we hope for, to be certain of the things we cannot see.”",83,"['faith', 'god', 'hope', 'pleasing-to-god']"
580,Steve Maraboli,“Do Something!,65,"['god', 'inspiration', 'making-a-difference', 'motivation', 'prayers']"
581,Rachel Van Dyken,"“God…” I choked on the word. “I know we haven’t talked much in the past few years. Hell, I told you I hated you when Tye took his own life.” I cursed again and pinched the bridge of my nose. “I don’t even care about myself anymore, just promise me she’ll be okay. If I don’t make it… if you take me, just let Kiersten be okay. She can’t go down that road — I don’t care if you have to punish me, God. If she’s going to suffer, give me her pain instead. If her heart’s going to break, break mine for hers. Please, God… please.”",61,"['god', 'heart-break']"
582,David O. McKay,"“Man is a spiritual being, a soul, and at some period of his life everyone is possessed with an irresistible desire to know his relationship to the Infinite. . . . There is something within him which urges him to rise above himself, to control his environment, to master the body and all things physical and live in a higher and more beautiful world.”",50,"['god', 'inspiration', 'man']"
583,Anonymous,"“It is He Who sent down to thee, in truth, the Book (Quran), confirming what went before it; and He sent down the Law (of Moses) and the Gospel (of Jesus) before this, as a guide to mankind, and He sent down the criterion (Quran) (of judgment between right and wrong). - Holy Quran 3:3”",50,"['god', 'islam', 'jesus', 'moses', 'muhammad', 'quran']"
584,Rohinton Mistry,"“…God is a giant quiltmaker. With an infinite variety of designs. And the quilt is grown so big and confusing, the pattern is impossible to see, the squares and diamonds and triangles don’t fit well together anymore, it’s all become meaningless. So He has abandoned it.”",47,"['god', 'life']"
585,Jack Gilbert,“,47,"['god', 'happiness', 'hope', 'joy', 'sorrow', 'suffering']"
586,Francis S. Collins,"“Will we turn our backs on science because it is perceived as a threat to God, abandoning all the promise of advancing our understanding of nature and applying that to the alleviation of suffering and the betterment of humankind? Alternatively, will we turn our backs on faith, concluding that science has rendered the spiritual life no longer necessary, and that traditional religious symbols can now be replaced by engravings of the double helix on our alters?",45,"['god', 'science']"
587,George Sand,"“God abandons only those who abandon themselves, and whoever has the courage to shut up his sorrow within his own heart is stronger to fight against it than he who complains.”",45,"['complaining', 'god', 'sorrow', 'strength']"
588,Amit Ray,"“God wanted to make heaven and the earth is that heaven. Nowhere in the universe there is so much love, life, beauty and peace. Enjoy your stay with the fellow beings.”",41,"['earth', 'earth-day', 'earth-day-quotes', 'god', 'heaven', 'love', 'peace', 'peace-movement', 'peace-on-earth']"
589,Edie Littlefield Sundby,"“I love to walk. Walking is a spiritual journey and a reflection of living. Each of us must determine which path to take and how far to walk; we must find our own way, what is right for one may not be for another. There is no single right way to deal with late stage cancer, to live life or approach death, or to walk an old mission trail.”",40,"['adversity-quotes', 'advice-for-daily-living', 'cancer', 'christian', 'courage', 'courage-quotes', 'death', 'death-quotes', 'empowering-quotes', 'empowerment', 'faith', 'faith-in-yourself', 'faith-quotes', 'fear', 'fear-quotes', 'god', 'god-s-grace', 'god-s-love', 'gods-grace', 'happy', 'happy-quotes', 'health', 'hope', 'hope-quotes', 'illness', 'illness-and-hope', 'inspirational', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'love', 'love-quotes', 'self-confidence', 'self-help', 'self-improvement', 'self-love', 'spiritual', 'spirituality', 'strength', 'strength-and-courage', 'strength-of-mind', 'strength-of-spirit', 'strength-of-will', 'strength-quotes', 'strength-through-adversity', 'walk', 'walker', 'walking', 'well-being', 'wellbeing', 'wellness', 'wisdom-quotes']"
590,Anne Graham,"“For years we've been telling God to get out of our schools, to get out of our government and to get out of our lives. And being the gentleman He is, I believe He has calmly backed out. How can we expect God to give us His blessing and His protection if we demand He leave us alone?”",38,"['god', 'realization', 'spiritual']"
