,Author,Quotes,Likes,Tags
63,John Green,"“There will come a time when all of us are dead. All of us. There will come a time when there are no human beings remaining to remember that anyone ever existed or that our species ever did anything. There will be no one left to remember Aristotle or Cleopatra, let alone you. Everything that we did and built and wrote and thought and discovered will be forgotten and all of this will have been for naught. Maybe that time is coming soon and maybe it is millions of years away, but even if we survive the collapse of our sun, we will not survive forever. There was time before organisms experienced consciousness, and there will be time after. And if the inevitability of human oblivion worries you, I encourage you to ignore it. God knows that’s what everyone else does.”",8682,"['existence', 'life']"
64,Roy T. Bennett,“Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.”,8329,"['dreams', 'fearless', 'heart', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'mind', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
65,Søren Kierkegaard,“Life can only be understood backwards; but it must be lived forwards.”,8215,"['future', 'life', 'past', 'reflection', 'understanding']"
66,Chad Sugg,“If you're reading this...,8071,"['alive', 'congratulations', 'hope', 'humanity', 'inspiration', 'inspirational', 'inspire', 'life', 'poetry', 'smile', 'wisdom']"
67,John Lennon,"“When I was 5 years old, my mother always told me that happiness was the key to life. When I went to school, they asked me what I wanted to be when I grew up. I wrote down ‘happy’. They told me I didn’t understand the assignment, and I told them they didn’t understand life.”",8061,"['inspirational', 'life']"
68,Stephen King,"“Monsters are real, and ghosts are real too. They live inside us, and sometimes, they win.”",7957,['life']
69,George Bernard Shaw,"“A life spent making mistakes is not only more honorable, but more useful than a life spent doing nothing.”",7954,"['art', 'life']"
70,John Greenleaf Whittier,"“Of all sad words of tongue or pen, the saddest are these, 'It might have been.”",7789,"['life', 'words']"
71,Roy T. Bennett,"“Instead of worrying about what you cannot control, shift your energy to what you can create.”",7767,"['creation', 'creative', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'worry']"
72,Ayn Rand,"“Do not let your fire go out, spark by irreplaceable spark in the hopeless swamps of the not-quite, the not-yet, and the not-at-all. Do not let the hero in your soul perish in lonely frustration for the life you deserved and have never been able to reach. The world you desire can be won. It exists.. it is real.. it is possible.. it's yours.”",7762,"['inspirational', 'life']"
73,Walt Disney Company,“The flower that blooms in adversity is the rarest and most beautiful of all.”,7761,"['inspiration', 'life']"
74,Abigail Van Buren,"“The best index to a person's character is how he treats people who can't do him any good, and how he treats people who can't fight back.”",7421,"['character', 'life', 'wisdom']"
75,Audrey Hepburn,“The most important thing is to enjoy your life—to be happy—it's all that matters.”,7191,"['happiness', 'life']"
76,Lemony Snicket,"“People aren't either wicked or noble. They're like chef's salads, with good things and bad things chopped and mixed together in a vinaigrette of confusion and conflict.”",7116,['life']
77,Roy T. Bennett,“Be the reason someone smiles. Be the reason someone feels loved and believes in the goodness in people.”,6999,"['being-human', 'goodness', 'human', 'human-nature', 'humanism', 'humanity', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quote', 'inspirational-quotes', 'inspire', 'inspiring', 'kindness', 'life', 'life-and-living', 'life-lessons', 'life-philosophy', 'life-quotes', 'living', 'love', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'smile', 'smiles']"
78,Alan Moore,"“My experience of life is that it is not divided up into genres; it’s a horrifying, romantic, tragic, comical, science-fiction cowboy detective novel. You know, with a bit of pornography if you're lucky.”",6812,['life']
79,maya angelou,“I love to see a young girl go out and grab the world by the lapels. Life's a bitch. You've got to go out and kick ass.”,6734,"['humor', 'inspirational', 'life']"
80,Albert Camus,“Nobody realizes that some people expend tremendous energy merely to be normal.”,6703,"['humanity', 'life', 'mankind', 'mortality']"
