,Author,Quotes,Likes,Tags
2676,Robert Green Ingersoll,"“Religion can never reform mankind because religion is slavery. It is far better to be free, to leave the forts and barricades of fear, to stand erect and face the future with a smile. It is far better to give yourself sometimes to negligence, to drift with wave and tide, with the blind force of the world, to think and dream, to forget the chains and limitations of the breathing life, to forget purpose and object, to lounge in the picture gallery of the brain, to feel once more the clasps and kisses of the past, to bring life's morning back, to see again the forms and faces of the dead, to paint fair pictures for the coming years, to forget all Gods, their promises and threats, to feel within your veins life's joyous stream and hear the martial music, the rhythmic beating of your fearless heart. And then to rouse yourself to do all useful things, to reach with thought and deed the ideal in your brain, to give your fancies wing, that they, like chemist bees, may find art's nectar in the weeds of common things, to look with trained and steady eyes for facts, to find the subtle threads that join the distant with the now, to increase knowledge, to take burdens from the weak, to develop the brain, to defend the right, to make a palace for the soul. This is real religion. This is real worship”",149,"['burden', 'development', 'dream', 'facts', 'fear', 'feeling', 'free', 'future', 'gods', 'heart', 'inspirational', 'joy', 'knowledge', 'purpose', 'reform', 'slavery', 'thought', 'threat', 'weak', 'worship']"
2677,R.J. Anderson,"“I realized then that even though I was a tiny speck in an infinite cosmos, a blip on the timeline of eternity, I was not without purpose.”",145,"['cosmos', 'inspirational', 'purpose', 'r-j-anderson', 'ultraviolet']"
2678,C.S. Lewis,"“The terrible thing, the almost impossible thing, is to hand over your whole self--all your wishes and precautions--to Christ. But it is far easier than what we are all trying to do instead. For what we are trying to do is to remain what we call ""ourselves,"" to keep personal happiness as our great aim in life, and yet at the same time be ""good.”",139,"['christianity', 'inspirational']"
2679,Samuel Taylor Coleridge,"“Advice is like snow; the softer it falls, the longer it dwells upon, and the deeper it sinks into the mind.”",135,['inspirational']
2680,Roy T. Bennett,“Finding the lesson behind every adversity will be the one important thing that helps get you through it.”,132,"['adversity', 'challenge', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
2681,Daniel Goleman,"“In a very real sense we have two minds, one that thinks and one that feels”",131,"['biology', 'emotion', 'inspirational', 'love', 'neuropsychology', 'science', 'thoughts']"
2682,Susan Cain,"“Don't think of introversion as something that needs to be cured...Spend your free the way you like, not the way you think you're supposed to.”",131,"['inspirational', 'introverts', 'susan-cain']"
2683,Coco Chanel,“There are people who have money and people who are rich.”,128,"['inspirational', 'rich-people']"
2684,Tere Liye,“Delisa cinta ummi karena Allah.”,116,"['inspirational', 'religious']"
2685,Ali Ibn Abi Talib A.S,“Take Care Of Your Tongue Like The Way You Take Care Of Gold & Silver.”,116,"['inspirational', 'think-before-you-speak']"
2686,Rick Riordan,"“You have to rise above the squabbling and chaos, and keep believing. You have to always keep your goals in mind.” -Hera, goddess of marriage ”",111,['inspirational']
2687,J.K. Rowling,"“That's chess!"" snapped Ron. ""You've got to make some sacrifices!”",111,"['humor', 'inspirational']"
2688,Vincent Van Gogh,“One must work and dare if one really wants to live.”,111,"['artistic', 'inspirational']"
2689,Dwight D. Eisenhower,"“Never let yourself be persuaded that any one Great Man, any one leader, is necessary to the salvation of America. When America consists of one leader and 158 million followers, it will no longer be America.”",104,"['inspirational', 'warning']"
2690,Theocritus,“Sameron adion aso,102,"['classical-greek', 'inspirational', 'music']"
2691,Mustafa Kemal Atatürk,“To see me does not necessarily mean to see my face. To understand my thoughts is to have seen me.”,102,['inspirational']
2692,Corrie Ten Boom,"“Child, you have to learn to see things in the right proportions. Learn to see great things great and small things small.”",101,"['inspirational', 'perspective', 'proportion']"
2693,Tyler Knott Gregson,“What an utter disgrace it would be to find something truly magic and spend any time at all pretending and trying to convince yourself it is all just an unbelievably orchestrated and beautifully choreographed illusion.”,99,"['illusion', 'inspirational', 'magic']"
2694,Les Brown,“The greatest revenge is massive success.”,94,"['inspirational', 'les-brown', 'motivational']"
2695,Min Jin Lee,“...a God that did everything we thought was right and good wouldn't be the creator of the universe. He would be our puppet.”,94,"['god', 'inspirational']"
2696,Ayn Rand,"“And what, incidentally, do you think integrity is? The ability not to pick a watch out of your neighbor's pocket? No, it's not as easy as that. If that were all, I'd say ninety-five percent of humanity were honest, upright men. Only, as you can see, they aren't. Integrity is the ability to stand by an idea.”",89,['inspirational']
2697,Jodi Picoult,"“The wolves knew when it was time to stop looking for what they'd lost, to focus instead on what was yet to come.”",88,"['inspirational', 'jodi-picoult', 'life', 'lone-wolf', 'wolves']"
2698,Leo Tolstoy,“A battle is won by him who is firmly resolved to win it.”,86,['inspirational']
2699,Homer,"“Take courage, my heart: you have been through worse than this. Be strong, saith my heart; I am a soldier; I have seen worse sights than this.”",86,"['homer', 'inspirational', 'inspirational-quotes', 'the-odyssey']"
2700,Evanescence,"“Don't try to fix me, I'm not broken...”",225,"['evenescence', 'inspirational', 'self-esteem']"
2701,Tupac Shakur,"“I believe that everything that you do bad comes back to you. So everything that I do that's bad, I'm going to suffer from it. But in my mind, I believe what I'm doing is right. So I feel like I'm going to heaven”",197,"['heaven', 'inspirational']"
2702,Roy T. Bennett,“Be the kind of person who dares to face life's challenges and overcome them rather than dodging them.”,195,"['challenges', 'courage', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
2703,Mitch Albom,"“You can feel the whole world and still feel lost in it. So many people are in pain-- no matter how smart or accomplished--they cry, they yearn, they hurt. But instead of looking down on things, they look up, which is where I should have been looking, too. Because when the world quiets to the sound of your own breathing, we all want the same things: comfort, love and a peaceful heart.”",189,"['faith', 'inspirational']"
2704,Robert A. Heinlein,"“Be wary of strong drink, it can make you shoot at the tax collector...and miss.”",170,"['drinking', 'inspirational']"
2705,Robert Louis Stevenson,"“There are two things that men should never weary of, goodness and humility; we get none too much of them in this rough world among cold, proud people.”",164,"['goodness', 'humility', 'inspirational']"
2706,Ted Dekker,“Dive deep. Drown willingly”,156,"['christian', 'inspirational']"
2707,Fred Rogers,"“It's a beautiful day in this neighborhood,",130,"['childhood', 'inspirational', 'love', 'mister-rogers-neighborhood', 'television']"
2708,Chris Heimerdinger,“There are only two forces at work in this world- black and white. Only people are grey.”,129,"['evil', 'good', 'inspirational', 'right', 'wrong']"
2709,Roy T. Bennett,“Remember that things are not always as they appear to be… Curiosity creates possibilities and opportunities.”,117,"['creativity', 'curiosity', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'leader', 'leaders', 'leadership', 'life', 'life-quotes', 'living', 'motivation', 'motivational', 'opportunity', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'possibility']"
2710,Jodi Picoult,"“Like a missing tooth, sometimes an absence is more noticeable than a presence.”",110,"['inspirational', 'jodi-picoult', 'lone-wolf', 'wise']"
2711,Mahatma Gandhi,“True beauty lies in purity of the heart.”,107,['inspirational']
2712,Chuck Palahniuk,"“Me with nothing left to lose, plotting my big revenge in the spotlight. Give me violent revenge fantasies as a coping mechanism.”",101,['inspirational']
2713,robert m drake,"“It was never about the world being too big, it was more like she was too much for the world to handle.”",100,"['happyquotes', 'hope', 'inspirational', 'inspirationalquotes', 'inspired', 'instadaily', 'instaquote', 'lovequotes', 'pinquotes', 'poems', 'poetry', 'quote', 'quoteoftheday', 'quotes', 'relationships', 'rmdrake', 'sadquotes', 'sayings', 'spokenword', 'tattoo', 'typewriter', 'vsco', 'writer', 'writing']"
2714,Steve Maraboli,“Temptation is the feeling we get when encountered by an opportunity to do what we innately know we shouldn't.”,97,"['choice', 'inspirational', 'life', 'opportunity-temptation', 'temptation']"
2715,Andre Agassi,"“Remember this. Hold on to this. This is the only perfection there is, the perfection of helping others. This is the only thing we can do that has any lasting meaning. This is why we're here. To make each other feel safe.”",97,"['helping-others', 'inspirational']"
2716,Jacqueline Winspear,“Grace isn't a little prayer you chant before receiving a meal. It's a way to live.”,96,['inspirational']
2717,Terry Pratchett,"“It was the living who ignored the strange and wonderful, because life was too full of the boring and mundane.”",94,"['humorous', 'inspirational', 'life']"
2718,Flannery O'Connor,"“Your beliefs will be the light by which you see, but they will not be what you see and they will not be a substitute for seeing.”",91,"['beliefs', 'inspirational', 'religion']"
2719,Holly Bourne,"“Everyone's on the cliff edge of normal. Everyone finds life an utter nightmare sometimes, and there's no 'normal' way of dealing with it... There is no normal, Evelyn.”",90,"['be-yourself', 'inspirational', 'normal']"
2720,Gloria Steinem,“Rich People plan for three generations,89,"['class-distinction', 'inspirational']"
